id,class,type,seed,usage,B2_1,weight
100,Maize,mean,50,train,392.8895705521473,0.9683172655565295
101,Maize,mean,50,train,368.73265783320346,0.9887529228371007
102,Maize,mean,50,train,432.98575788402843,0.9837741607324519
104,Maize,mean,50,train,433.2183908045977,0.9944827586206898
105,Maize,mean,50,train,405.5,1
106,Maize,mean,50,train,458.5,1
291,Maize,mean,50,train,611.5073891625616,0.918768472906404
292,Maize,mean,50,train,543.1856763925729,0.9530238726790451
293,Maize,mean,50,train,556.6034482758621,0.9944827586206898
294,Maize,mean,50,train,583.8215223097113,0.957926509186352
295,Maize,mean,50,train,547.3676222596964,0.797655986509275
296,Maize,mean,50,train,512.2575440693158,0.9825365999402451
327,Maize,mean,50,train,497.8260869565217,0.9869565217391306
328,Maize,mean,50,train,421.38888888888886,0.7744444444444444
329,Maize,mean,50,test,512.6854838709678,0.9922580645161292
330,Maize,mean,50,train,442,0.64
331,Maize,mean,50,test,478,0.79
332,Maize,mean,50,train,553.9685863874346,0.957120418848168
333,Maize,mean,50,test,484.79797979797985,0.9714447505356598
334,Maize,mean,50,train,485.206106870229,0.9100763358778625
335,Maize,mean,50,train,472.6666666666667,1
336,Maize,mean,50,test,479.71936758893287,0.9625955204216075
338,Maize,mean,50,train,475,0.51
340,Maize,mean,50,train,476.367681498829,0.8755737704918033
389,Maize,mean,50,train,446.90476190476187,0.9495454545454545
390,Maize,mean,50,train,404.5,1
391,Maize,mean,50,train,472.7070707070707,0.9909090909090911
393,Maize,mean,50,train,457.05384907091394,0.9802692453545696
394,Maize,mean,50,test,380.1333333333333,0.95
395,Maize,mean,50,train,564.9415492957746,0.9613802816901409
396,Maize,mean,50,train,556.5271739130435,0.9372101449275365
398,Maize,mean,50,train,643.605220228385,0.903376835236542
399,Maize,mean,50,train,641.6252838758516,0.9553444360333082
400,Maize,mean,50,train,584.961950059453,0.9465517241379313
401,Maize,mean,50,train,599.6474442988205,0.8859370904325032
402,Maize,mean,50,train,563.7458279845956,0.9787034659820283
403,Maize,mean,50,test,587.0236559139785,0.9965089605734768
404,Maize,mean,50,train,560.0175438596492,0.9975689223057645
434,Maize,mean,50,train,449.3965844402278,0.9764326375711576
435,Maize,mean,50,test,420.3709677419355,0.852903225806452
436,Maize,mean,50,train,453.801393728223,0.9664808362369338
496,Maize,mean,50,train,397.5,1
497,Maize,mean,50,train,430.483606557377,0.9783606557377051
498,Maize,mean,50,test,409.6901197604791,0.9647604790419165
501,Maize,mean,50,test,398,1
515,Maize,mean,50,train,243.54945054945054,0.9189010989010992
526,Maize,mean,50,train,562.5026455026455,0.9550132275132277
527,Maize,mean,50,train,587.9662162162161,0.9886486486486487
528,Maize,mean,50,train,552.38630293781,0.9789469668065626
529,Maize,mean,50,train,550.9371727748692,0.9722827225130891
530,Maize,mean,50,test,535.3238993710692,0.955496855345912
532,Maize,mean,50,train,558.9392877991827,0.96492119089317
556,Maize,mean,50,train,381.2239263803681,0.8484049079754604
557,Maize,mean,50,train,363.1387283236994,0.8860693641618497
559,Maize,mean,50,train,418,1
560,Maize,mean,50,test,403.39344262295083,0.9228961748633884
579,Maize,mean,50,train,609.4172901080632,0.9447298420615129
580,Maize,mean,50,test,597.6549912434326,0.9639404553415062
581,Maize,mean,50,train,585.6629032258064,0.9614354838709678
583,Maize,mean,50,test,571.5645491803278,0.983862704918033
584,Maize,mean,50,test,515.1101796407185,0.9419041916167665
645,Maize,mean,50,test,430.8396436525612,0.9172605790645884
646,Maize,mean,50,train,531.3714648871942,0.9861169367651732
648,Maize,mean,50,train,481.9655485040798,0.9814233907524932
649,Maize,mean,50,train,464.80150753768845,0.9951256281407037
650,Maize,mean,50,train,468.9318662716885,0.9759754549301736
651,Maize,mean,50,train,477,1
652,Maize,mean,50,train,486.93300492610837,0.9447980295566505
672,Maize,mean,50,train,558.5503581020591,0.9775917636526411
680,Maize,mean,50,train,560.2968568102444,0.9691152502910363
682,Maize,mean,50,train,563.462159978454,0.9804012927551845
683,Maize,mean,50,train,569.4765625,0.9650260416666668
684,Maize,mean,50,train,567.0454099967332,0.9899411956876839
685,Maize,mean,50,train,526.6277227722773,0.9469702970297033
686,Maize,mean,50,train,519.2864721485411,0.9530238726790451
687,Maize,mean,50,train,520.9175627240143,0.9563440860215054
694,Maize,mean,50,train,461.76530612244903,0.9218367346938776
695,Maize,mean,50,train,627.1766004415011,0.9450110375275937
696,Maize,mean,50,train,490.6539877300613,0.9282822085889573
698,Maize,mean,50,train,454.34492753623186,0.9881642512077295
701,Maize,mean,50,test,620.7350689127105,0.9471516079632466
723,Maize,mean,50,train,522.955512572534,0.8876015473887814
724,Maize,mean,50,train,502,0.830000000000001
725,Maize,mean,50,test,557.5983037779491,0.9425983037779494
727,Maize,mean,50,train,462.5352657004831,0.9880289855072463
728,Maize,mean,50,test,680.8780019212296,0.9589721421709897
729,Maize,mean,50,test,466.47905282331504,0.9509107468123864
730,Maize,mean,50,train,599.1197604790419,0.9674251497005988
731,Maize,mean,50,train,527.8740515933232,0.9632928679817906
732,Maize,mean,50,train,693.3494926719278,0.9872491544532132
733,Maize,mean,50,train,650.6400742115028,0.9839981447124305
734,Maize,mean,50,train,619.75,1
786,Maize,mean,50,train,508.5625,1
787,Maize,mean,50,train,443.7522281639928,0.9575935828877005
791,Maize,mean,50,train,721.2941176470588,1
792,Maize,mean,50,train,525.0566414040686,0.9773035500598325
793,Maize,mean,50,train,478.85807504078304,0.977079934747145
794,Maize,mean,50,train,594.0448087431695,0.9862768670309655
795,Maize,mean,50,test,591.2482946793998,0.9392769440654843
796,Maize,mean,50,train,577.2904761904763,0.9576785714285715
797,Maize,mean,50,train,582.7720988688731,0.9952618349392544
798,Maize,mean,50,train,600.4982935153583,0.9794539249146759
799,Maize,mean,50,train,542.7159640635798,0.9800760193503801
800,Maize,mean,50,train,535.0160891089109,0.9179702970297032
801,Maize,mean,50,train,515.3504273504274,0.9009401709401713
802,Maize,mean,50,train,500.14606741573033,0.9809295199182841
